author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
ibitoye M,"This Indian restaurant was simply the best tbh, I don't even know where to start from and their customer service was gre","This Indian restaurant was simply the best tbh, I don't even know where to start from and their customer service was great too",40,Sep-23,4,Zaika Indian and Chinese Restaurant
Ismail K,Best Indian food,Best Indian food I even tested in the world of food I like it very very much is great 👍 keep in up,50,Jul-23,4,Zaika Indian and Chinese Restaurant
Hello O,Hello,Hello dear friend I’m sorry about your loss I am so glad you’re doing good work with you this morning,50,Sep-23,4,Zaika Indian and Chinese Restaurant
johnson O,Nice restaurant,Best Indian food in lagos Nigeria rich in protein wish I could go back there’s one more time nice restaurants,50,Sep-23,4,Zaika Indian and Chinese Restaurant
Chibuike o,Excellent food,"The meal was delicious and fantastic,I enjoy every bit of the meal,wish to go there someothere time with my family",40,Jul-23,4,Zaika Indian and Chinese Restaurant
Emmanuel O,It was fun and refreshing,The spot was great for brunch. The meal was delicious and fantastic. I would love to try it again.,40,Oct-22,4,Zaika Indian and Chinese Restaurant
Jassiri1610,Chicken Biryani,One of the worst chicken and rice combination … it was so bland. Even after talking to owner he was telling me to differentiate between receipe l .  Do not eat and order anything… Fake fake,50,Feb-23,4,Zaika Indian and Chinese Restaurant
mmafa,Good food highly recommeded!,I was craving for desi food and checked online for delivery options and Zaika came on top ..... and it did not disappoint.. I ordered a meal. Chicken curry was nice but the Biryani was exceptional.... The host (Sandeep) was very accommodating and supportive highly...recommended ..........More,10,Dec-21,4,Zaika Indian and Chinese Restaurant
Sai_d_gourmet,"Nice little Cosy place, with customer friendly staff and sumptuous cuisines","The Owner goes out of his way to attend each client individually. Consistent taste & sufficient portions. Their Home delivery service is an added advantage. Prices are affordable and menu is exhaustive.

 Good place for hosting small gatherings.",50,Sep-19,4,Zaika Indian and Chinese Restaurant
