author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
chikakays,Abass the  bar tender,"Nice place with good music.  Abass the bar tender is an awesome guy, good customer service and very attentive. You don't need to ask he just knows when you re thirsty.",40,Sep-21,4,Thistle Bar
_abisheart,"brilliant music, excellent food and reasonably priced drinks","it’s under new management so has a totally revamped and fresh vibe, but has stayed true to its legacy of being a great place to hang out .
Had a night out with friends, drinks and food prices are brilliant .The food looked appetizing and...was really tasty  and on the top floor, the dj was on top of his game. 
Cost of drinks are very reasonable if you like to buy your spirits in bottles 
really really good vibe 👍🏽👍🏽More",50,Sep-19,4,Thistle Bar
mail4azu,Great music and food.,"Oh my the drinks were all ice cold. The good and music was great. there was a live band that entertained well. The music was a bit too loud but lovely.
Great experience and indoors.",50,Nov-17,4,Thistle Bar
Ezenenwu A,A place to catch funs,"A bar with fully A.C,  A life band to forget about worries, & devaluation of the currency.
Honestly is place to chilled down stress of the day.",40,Feb-16,4,Thistle Bar
eziefulechidinma,It's been a while,"Haven't been here in a looooong while, but I do remember I loved their Barracuda and chips and would eat it for lunch at least 2ce a week. I've never been here at night, so I can't speak for the night scene. Was very quiet...when I used to go there for lunch.More",40,Nov-14,4,Thistle Bar
Classychic,Nice hangout for mature people,I love the live band here and the meals are so so. I find it a bit cramped though but I always have a nice time there.,40,Feb-15,4,Thistle Bar
Keith R,"Very hard to find, but quite good service","We came here with a few locals. We would never have found it on our own since it's deep in a plot in what looks like residential or light industry (it was dark). The locals recommended it when they have live music - which wasn't...on the night we came.

We didn't end up staying for dinner, although the menu looked good with many Nigerian specialties.

The service was attentive and accommodated our large group well.More",30,Sep-15,4,Thistle Bar
