author_name,review_title,review_text,author_rating,visit_date,overall_rating
Aku o,"Zolene Restaurant: Rented The hidden treasure I found in Ikoyi, Lagos.",The rainbow rice and salad was a perfect blend of fresh flavors plus the ambiance at Zolene is amazing.,50,April 2021,5.0
653opeyemia,Food of the gods,Never had a more divine food experience. The stir fried rice was its own journey and the sauteed goat meat has the best texture I've ever had.,50,March 2021,5.0
chinweu2021,I loved the food,"I loved the food and the ambience of the restaurant. Would definitely recommend this restaurant, it’s a nice place to hangout with friends",50,March 2021,5.0
